,class,order,family,species,AaM,log.AaM,longevity,juvSurv,juvMort,adMort,svl,birth.svl,repmode,Terr,AdTerr,na_count,IF
188,Actinopterygii,Perciformes,Istiophoridae,Kajikia audax,NA,NA,NA,NA,NA,NA,420,NA,0,0,0,7,0
189,Actinopterygii,Perciformes,Xiphiidae,Xiphias gladius,NA,NA,NA,NA,NA,NA,455,NA,0,0,0,7,0
190,Actinopterygii,Elopiformes,Megalopidae,Megalops cyprinoides,NA,NA,NA,NA,NA,NA,150,NA,0,0,0,7,0
191,Actinopterygii,Albuliformes,Albulidae,Albula vulpes,NA,NA,NA,NA,NA,NA,104,NA,0,0,0,7,0
192,Actinopterygii,Albuliformes,Albulidae,Nemoossis belloci,NA,NA,19,NA,NA,NA,40,NA,0,0,0,6,0
193,Actinopterygii,Osmeriformes,Alepocephalidae,Alepocephalus bairdii,NA,NA,NA,NA,NA,NA,100,NA,0,0,0,7,0
194,Actinopterygii,Salmoniformes,Salmonidae,Coregonus albula,NA,NA,NA,NA,NA,NA,48,NA,0,0,0,7,0
195,Actinopterygii,Salmoniformes,Salmonidae,Coregonus lavaretus,NA,NA,NA,NA,NA,NA,73,NA,0,0,0,7,0
196,Actinopterygii,Salmoniformes,Salmonidae,Coregonus oxyrinchus,NA,NA,NA,NA,NA,NA,50,NA,0,0,0,7,0
197,Actinopterygii,Salmoniformes,Salmonidae,Coregonus clupeaformis,NA,NA,NA,NA,NA,NA,100,NA,0,0,0,7,0
198,Actinopterygii,Salmoniformes,Salmonidae,Coregonus artedi,NA,NA,NA,NA,NA,NA,57,NA,0,0,0,7,0
