,order,class,family,species,AaM,log.AaM,adMort,svl,repmode,juvTerr,birth.svl,longevity,juvSurv,juvMort,AdTerr,mass,birth.mass,RCM,IPB,reloff
5389,Anura,Amphibia,Rhacophoridae,Rhacophorus chuyangsinensis,NA,NA,NA,44.15,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5390,Anura,Amphibia,Rhacophoridae,Rhacophorus cyanopunctatus,NA,NA,NA,40,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5391,Anura,Amphibia,Rhacophoridae,Rhacophorus dennysi,NA,NA,NA,128.2,0,0,2,NA,NA,NA,1,NA,NA,0.009966788,NA,3.80E-06
5392,Anura,Amphibia,Rhacophoridae,Rhacophorus dorsoviridis,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5393,Anura,Amphibia,Rhacophoridae,Rhacophorus duboisi,NA,NA,NA,65.7,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5394,Anura,Amphibia,Rhacophoridae,Rhacophorus dugritei,NA,NA,NA,56.7,0,0,2.5,NA,NA,NA,1,NA,NA,0.034287107,NA,8.57E-05
5395,Anura,Amphibia,Rhacophoridae,Rhacophorus dulitensis,NA,NA,NA,50,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5396,Anura,Amphibia,Rhacophoridae,Rhacophorus edentulus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5397,Anura,Amphibia,Rhacophoridae,Rhacophorus everetti,NA,NA,NA,50,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5398,Anura,Amphibia,Rhacophoridae,Rhacophorus exechopygus,NA,NA,NA,59,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5399,Anura,Amphibia,Rhacophoridae,Rhacophorus fasciatus,NA,NA,NA,55,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5400,Anura,Amphibia,Rhacophoridae,Rhacophorus feae,NA,NA,NA,111,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5401,Anura,Amphibia,Rhacophoridae,Rhacophorus gadingensis,NA,NA,NA,30,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5402,Anura,Amphibia,Rhacophoridae,Rhacophorus gauni,NA,NA,NA,38,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5403,Anura,Amphibia,Rhacophoridae,Rhacophorus georgii,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5404,Anura,Amphibia,Rhacophoridae,Rhacophorus harrissoni,NA,NA,NA,70,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5405,Anura,Amphibia,Rhacophoridae,Rhacophorus hoanglienensis,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5406,Anura,Amphibia,Rhacophoridae,Rhacophorus hui,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5407,Anura,Amphibia,Rhacophoridae,Rhacophorus hungfuensis,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5408,Anura,Amphibia,Rhacophoridae,Rhacophorus jarujini,NA,NA,NA,46.1,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5409,Anura,Amphibia,Rhacophoridae,Rhacophorus kajau,NA,NA,NA,20,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5410,Anura,Amphibia,Rhacophoridae,Rhacophorus kio,NA,NA,NA,81.6,0,0,3,NA,NA,NA,1,NA,NA,0.013168587,NA,4.97E-05
5411,Anura,Amphibia,Rhacophoridae,Rhacophorus laoshan,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5412,Anura,Amphibia,Rhacophoridae,Rhacophorus lateralis,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5413,Anura,Amphibia,Rhacophoridae,Rhacophorus leucofasciatus,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5414,Anura,Amphibia,Rhacophoridae,Rhacophorus malabaricus,NA,NA,NA,78,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5415,Anura,Amphibia,Rhacophoridae,Rhacophorus margaritifer,NA,NA,NA,60,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5416,Anura,Amphibia,Rhacophoridae,Rhacophorus marmoridorsum,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5417,Anura,Amphibia,Rhacophoridae,Rhacophorus maximus,NA,NA,NA,77.7,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5418,Anura,Amphibia,Rhacophoridae,Rhacophorus minimus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5419,Anura,Amphibia,Rhacophoridae,Rhacophorus modestus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5420,Anura,Amphibia,Rhacophoridae,Rhacophorus moltrechti,NA,NA,NA,49.8,0,0,2.5,NA,NA,NA,1,NA,NA,0.030362899,NA,0.000126512
